Id,Name,hed__Start_Date__c,hed__End_Date__c
a0P8c00000DoDzMEAV,2005-06,2005-09-01,2006-08-31
a0P8c00000DoDzLEAV,2004-05,2004-09-01,2005-08-31
a0P8c00000DoDzKEAV,2003-04,2003-09-01,2004-08-31
a0P8c00000DoDzJEAV,2002-03,2002-09-01,2003-08-31
a0P8c00000DoDzIEAV,2001-02,2001-09-01,2002-08-31
a0P8c00000DoDzHEAV,2000-01,2000-09-01,2001-08-31
a0P8c00000DoDzGEAV,1999-00,1999-09-01,2000-08-31
a0P8c00000DoDzFEAV,1998-99,1998-09-01,1999-08-31
a0P8c00000DoDzEEAV,1997-98,1997-09-01,1998-08-31
a0P8c00000DoDzDEAV,1996-97,1996-09-01,1997-08-31
a0P8c00000DoDzCEAV,1995-96,1995-09-01,1996-08-31
a0P8c00000DoDzBEAV,1994-95,1994-09-01,1995-08-31
a0P8c00000DoDzAEAV,1993-94,1993-09-01,1994-08-31
a0P8c00000DoDz9EAF,1992-93,1992-09-01,1993-08-31
a0P8c00000DoDz8EAF,1991-92,1990-09-01,1992-08-31
a0P8c00000DoDz7EAF,1990-91,1990-09-01,1991-08-31
a0P8c00000DoDz6EAF,1989-90,1989-09-01,1990-08-31
a0P8c00000DoDz5EAF,1988-89,1988-09-01,1989-08-31
a0P8c00000DoDz4EAF,1987-88,1987-09-01,1988-08-31
a0P8c00000DoDz3EAF,1986-87,1986-09-01,1987-08-31
a0P8c00000DoDz2EAF,1985-86,1985-09-01,1986-08-31
a0P8c00000DoDz1EAF,1984-85,1984-09-01,1985-08-31
a0P8c00000DoDz0EAF,1983-84,1983-09-01,1984-08-31
a0P8c00000DoDyzEAF,1982-83,1982-09-01,1983-08-31
a0P8c00000DoDyyEAF,1981-82,1981-09-01,1982-08-31
a0P8c00000DoDyxEAF,1980-81,1980-09-01,1981-08-31
a0P8c00000DoDywEAF,1979-80,1979-09-01,1980-08-31
a0P8c00000DoDyvEAF,1978-79,1978-09-01,1979-08-31
a0P8c00000DoDyuEAF,1977-78,1977-09-01,1978-08-31
a0P8c00000DoDytEAF,1976-77,1976-09-01,1977-08-31
a0P8c00000DoDysEAF,1975-76,1975-09-01,1976-08-31
a0P8c00000DoDyrEAF,1974-75,1974-09-01,1975-08-31
a0P8c00000DoDyqEAF,1973-74,1973-09-01,1974-08-31
