Id,hed__Contact__c,hed__Program_Enrollment__c,hed__Program_Enrollment__r.hed__Contact__c,hed__Program_Enrollment__r.hed__Contact__r.FirstName,hed__Program_Enrollment__r.hed__Contact__r.LastName,hed__Course_Offering__c,hed__Course_Offering__r.hed__Course__c,hed__Course_Offering__r.hed__Course__r.Name,hed__Course_Offering__r.hed__Term__c,hed__Course_Offering__r.hed__Term__r.Name,hed__Course_Offering__r.hed__Term__r.hed__Start_Date__c,hed__Course_Offering__r.hed__Term__r.hed__End_Date__c,hed__Status__c,Notations__c
a098c00000rbTwlAAE,0038c00002jGqQ7AAK,,,,,a0B8c000012AKb2EAG,a0C8c00000YJjOoEAL,Éthique pour le conseiller biblique,a0P8c00000DpWsyEAF,H2022,2022-01-01,2022-04-30,,INC
a098c00000rbTwvAAE,0038c00002jGr6sAAC,,,,,a0B8c000012AKb7EAG,a0C8c00000YJjOtEAL,Éthique pour le conseiller biblique,a0P8c00000DpWsyEAF,H2022,2022-01-01,2022-04-30,Current,
a098c00000rbTzuAAE,0038c00002jGqklAAC,,,,,a0B8c000012KEgzEAG,a0C8c00000XMMnYEAX,Théologie pastorale,a0P8c00000DpWsxEAF,A2021,2021-09-01,2021-12-31,Current,
a098c00000rbTzzAAE,0038c00002jGqvfAAC,,,,,a0B8c000012KEgzEAG,a0C8c00000XMMnYEAX,Théologie pastorale,a0P8c00000DpWsxEAF,A2021,2021-09-01,2021-12-31,Current,R
a098c00000rbU04AAE,0038c00002jGqkzAAC,,,,,a0B8c000012KEgzEAG,a0C8c00000XMMnYEAX,Théologie pastorale,a0P8c00000DpWsxEAF,A2021,2021-09-01,2021-12-31,Former,R
a098c00000rbU09AAE,0038c00002jGqbWAAS,,,,,a0B8c000012KEgzEAG,a0C8c00000XMMnYEAX,Théologie pastorale,a0P8c00000DpWsxEAF,A2021,2021-09-01,2021-12-31,Current,R
a098c00000rbU0AAAU,0038c00002jGrrKAAS,,,,,a0B8c000012KEgzEAG,a0C8c00000XMMnYEAX,Théologie pastorale,a0P8c00000DpWsxEAF,A2021,2021-09-01,2021-12-31,Current,PPC
a098c00000rbU0BAAU,0038c00002jGrADAA0,,,,,a0B8c000012KEgzEAG,a0C8c00000XMMnYEAX,Théologie pastorale,a0P8c00000DpWsxEAF,A2021,2021-09-01,2021-12-31,Former,PPC
a098c00000rbU0JAAU,0038c00002jGqP6AAK,,,,,a0B8c000012KEgzEAG,a0C8c00000XMMnYEAX,Théologie pastorale,a0P8c00000DpWsxEAF,A2021,2021-09-01,2021-12-31,Current,AUD
a098c00000rbU0KAAU,0038c00002jGr7lAAC,,,,,a0B8c000012KEgzEAG,a0C8c00000XMMnYEAX,Théologie pastorale,a0P8c00000DpWsxEAF,A2021,2021-09-01,2021-12-31,Current,PPC
a098c00000rbUdoAAE,0038c00002jGs4VAAS,,,,,a0B8c000012ALj2EAG,a0C8c00000XMMa8EAH,Gestion de vie,a0P8c00000DpWsxEAF,A2021,2021-09-01,2021-12-31,Current,
a098c00000rbUdpAAE,0038c00002jGrU2AAK,,,,,a0B8c000012ALj2EAG,a0C8c00000XMMa8EAH,Gestion de vie,a0P8c00000DpWsxEAF,A2021,2021-09-01,2021-12-31,Current,AUD
a098c00000rbUdtAAE,0038c00002jGs3bAAC,,,,,a0B8c000012ALj2EAG,a0C8c00000XMMa8EAH,Gestion de vie,a0P8c00000DpWsxEAF,A2021,2021-09-01,2021-12-31,Former,R
a098c00000rbUduAAE,0038c00002jGr1MAAS,,,,,a0B8c000012ALj2EAG,a0C8c00000XMMa8EAH,Gestion de vie,a0P8c00000DpWsxEAF,A2021,2021-09-01,2021-12-31,Former,AUD
a098c00000rbUdvAAE,0038c00002jGqXXAA0,,,,,a0B8c000012ALj2EAG,a0C8c00000XMMa8EAH,Gestion de vie,a0P8c00000DpWsxEAF,A2021,2021-09-01,2021-12-31,Current,AUD
a098c00000rbUdwAAE,0038c00002jGryvAAC,,,,,a0B8c000012ALj2EAG,a0C8c00000XMMa8EAH,Gestion de vie,a0P8c00000DpWsxEAF,A2021,2021-09-01,2021-12-31,Former,R
a098c00000rbUdxAAE,0038c00002jGrn9AAC,,,,,a0B8c000012ALj2EAG,a0C8c00000XMMa8EAH,Gestion de vie,a0P8c00000DpWsxEAF,A2021,2021-09-01,2021-12-31,Current,AUD
a098c00000rbUdyAAE,0038c00002jGrWkAAK,,,,,a0B8c000012ALj2EAG,a0C8c00000XMMa8EAH,Gestion de vie,a0P8c00000DpWsxEAF,A2021,2021-09-01,2021-12-31,Former,AUD
a098c00000rbUdzAAE,0038c00002jGr1oAAC,,,,,a0B8c000012ALj2EAG,a0C8c00000XMMa8EAH,Gestion de vie,a0P8c00000DpWsxEAF,A2021,2021-09-01,2021-12-31,Current,AUD
a098c00000rbUe0AAE,0038c00002jGqoLAAS,,,,,a0B8c000012ALj2EAG,a0C8c00000XMMa8EAH,Gestion de vie,a0P8c00000DpWsxEAF,A2021,2021-09-01,2021-12-31,Current,AUD
a098c00000rbUe3AAE,0038c00002jGryKAAS,,,,,a0B8c000012ALj2EAG,a0C8c00000XMMa8EAH,Gestion de vie,a0P8c00000DpWsxEAF,A2021,2021-09-01,2021-12-31,Current,R
a098c00000rbUe4AAE,0038c00002jGrZKAA0,,,,,a0B8c000012ALj2EAG,a0C8c00000XMMa8EAH,Gestion de vie,a0P8c00000DpWsxEAF,A2021,2021-09-01,2021-12-31,Current,R
a098c00000rbUe5AAE,0038c00002jGra6AAC,,,,,a0B8c000012ALj2EAG,a0C8c00000XMMa8EAH,Gestion de vie,a0P8c00000DpWsxEAF,A2021,2021-09-01,2021-12-31,Current,R
a098c00000rbUeDAAU,0038c00002jGr1TAAS,,,,,a0B8c000012ALj2EAG,a0C8c00000XMMa8EAH,Gestion de vie,a0P8c00000DpWsxEAF,A2021,2021-09-01,2021-12-31,Current,AUD
a098c00000rbUeEAAU,0038c00002jGrYYAA0,,,,,a0B8c000012ALj2EAG,a0C8c00000XMMa8EAH,Gestion de vie,a0P8c00000DpWsxEAF,A2021,2021-09-01,2021-12-31,Current,AUD
a098c00000rbUeFAAU,0038c00002jGrUqAAK,,,,,a0B8c000012ALj2EAG,a0C8c00000XMMa8EAH,Gestion de vie,a0P8c00000DpWsxEAF,A2021,2021-09-01,2021-12-31,Current,AUD
a098c00000rbUeIAAU,003ON000008r9yDYAQ,,,,,a0B8c000012ALj2EAG,a0C8c00000XMMa8EAH,Gestion de vie,a0P8c00000DpWsxEAF,A2021,2021-09-01,2021-12-31,Current,INC
a098c00000rbUeJAAU,0038c00002jGqjvAAC,,,,,a0B8c000012ALj2EAG,a0C8c00000XMMa8EAH,Gestion de vie,a0P8c00000DpWsxEAF,A2021,2021-09-01,2021-12-31,Former,AUD
a098c00000rbUeKAAU,0038c00002jGs7mAAC,,,,,a0B8c000012KFEnEAO,a0C8c00000XMMmmEAH,Séminaire de prédication avancé,a0P8c00000DoDzcEAF,2021-22,2021-09-01,2022-08-31,Current,
a098c00000rbUeNAAU,0038c00002w5gHkAAI,,,,,a0B8c000012ALj2EAG,a0C8c00000XMMa8EAH,Gestion de vie,a0P8c00000DpWsxEAF,A2021,2021-09-01,2021-12-31,Current,AUD
a098c00000rbW0dAAE,0038c00002jGs7xAAC,,,,,a0B8c000012ANmXEAW,a0C8c00000XMMalEAH,Séminaire de recherche I,a0P8c00000DpWsxEAF,A2021,2021-09-01,2021-12-31,Current,
a098c00000rbaLPAAY,0038c00002jGqaFAAS,,,,,a0B8c000012ARqeEAG,a0C8c00000XMMm5EAH,Personnalité humaine I,a0P8c00000DpWsxEAF,A2021,2021-09-01,2021-12-31,Current,
a098c00000rbaLQAAY,0038c00002jGrp1AAC,,,,,a0B8c000012ARqeEAG,a0C8c00000XMMm5EAH,Personnalité humaine I,a0P8c00000DpWsxEAF,A2021,2021-09-01,2021-12-31,Current,R
a098c00000rbaLUAAY,0038c00002jGr7HAAS,,,,,a0B8c000012ARqeEAG,a0C8c00000XMMm5EAH,Personnalité humaine I,a0P8c00000DpWsxEAF,A2021,2021-09-01,2021-12-31,Current,R
a098c00000rbaLoAAI,0038c00002jGqaFAAS,,,,,a0B8c000012ARrIEAW,a0C8c00000XMMm6EAH,Personnalité humaine II,a0P8c00000DpWsxEAF,A2021,2021-09-01,2021-12-31,Current,
a098c00000rbaLuAAI,0038c00002jGs7UAAS,,,,,a0B8c000012ARrIEAW,a0C8c00000XMMm6EAH,Personnalité humaine II,a0P8c00000DpWsxEAF,A2021,2021-09-01,2021-12-31,Former,R
a098c00000rbioOAAQ,0038c00002jGqaFAAS,,,,,a0B8c000012AUdxEAG,a0C8c00000XMMmPEAX,Principes d'interprétation,a0P8c00000DpWtDEAV,A2022,2022-09-01,2022-12-31,Current,
a098c00000rbioPAAQ,0038c00002jGs7dAAC,,,,,a0B8c000012AUe2EAG,a0C8c00000XMMloEAH,Les prophètes,a0P8c00000DpWtDEAV,A2022,2022-09-01,2022-12-31,,R
a098c00000rbioTAAQ,0038c00002jGs7dAAC,,,,,a0B8c000012AUdxEAG,a0C8c00000XMMmPEAX,Principes d'interprétation,a0P8c00000DpWtDEAV,A2022,2022-09-01,2022-12-31,,R
a098c00000rbioYAAQ,0038c00002jGqaFAAS,,,,,a0B8c000012AUe2EAG,a0C8c00000XMMloEAH,Les prophètes,a0P8c00000DpWtDEAV,A2022,2022-09-01,2022-12-31,Current,
a098c00000rbipCAAQ,0038c00002jGqaFAAS,,,,,a0B8c000012AUg4EAG,a0C8c00000XMMj5EAH,Counseling biblique marital,a0P8c00000DpWsiEAF,A2020,2020-09-01,2020-12-31,Current,
a098c00000rbjyLAAQ,0038c00002jGs7jAAC,,,,,a0B8c000012AX2KEAW,a0C8c00000XMMZFEA5,Épître aux Hébreux,a0P8c00000DpWtDEAV,A2022,2022-09-01,2022-12-31,Current,
a098c00000rbkz3AAA,0038c00002jGqjVAAS,,,,,a0B8c000012AYnKEAW,a0C8c00000XMMlwEAH,NT I : Les évangiles,a0P8c00000DpWsxEAF,A2021,2021-09-01,2021-12-31,Current,
a098c00000rbleGAAQ,0038c00002jGs7wAAC,,,,,a0B8c000012AZfUEAW,a0C8c00000XMMnUEAX,Théologie I : Connaître le Dieu de la Bible,a0P8c00000DpWssEAF,P2021,2021-05-01,2022-08-31,Current,
a098c00000rbleLAAQ,0038c00002jGrWCAA0,,,,,a0B8c000012AZfUEAW,a0C8c00000XMMnUEAX,Théologie I : Connaître le Dieu de la Bible,a0P8c00000DpWssEAF,P2021,2021-05-01,2022-08-31,Current,INC
a098c00000rbleQAAQ,0038c00002jGs7wAAC,,,,,a0B8c000012AZfZEAW,a0C8c00000XMMdLEAX,Théologie II : Glorifier le Fils dans l’Église,a0P8c00000DpWssEAF,P2021,2021-05-01,2022-08-31,Current,
a098c00000rbleRAAQ,0038c00002jGrWCAA0,,,,,a0B8c000012AZfZEAW,a0C8c00000XMMdLEAX,Théologie II : Glorifier le Fils dans l’Église,a0P8c00000DpWssEAF,P2021,2021-05-01,2022-08-31,Current,INC
a098c00000rbljfAAA,0038c00002jGrWCAA0,,,,,a0B8c000013eQjmEAE,a0C8c00000XMMdqEAH,Origines et Histoire d'Israel,a0P8c00000DpWtDEAV,A2022,2022-09-01,2022-12-31,,R
a098c00000rbljkAAA,0038c00002jGqaFAAS,,,,,a0B8c000012Aa9yEAC,a0C8c00000XMMiBEAX,Actes à Apocalypse,a0P8c00000DpWtDEAV,A2022,2022-09-01,2022-12-31,Current,
a098c00000rbljpAAA,0038c00002jGrWCAA0,,,,,a0B8c000012Aa9yEAC,a0C8c00000XMMiBEAX,Actes à Apocalypse,a0P8c00000DpWtDEAV,A2022,2022-09-01,2022-12-31,,R
a098c00000rbljqAAA,0038c00002jGs7UAAS,,,,,a0B8c000012Aa9yEAC,a0C8c00000XMMiBEAX,Actes à Apocalypse,a0P8c00000DpWtDEAV,A2022,2022-09-01,2022-12-31,,R
a098c00000rbnVbAAI,0038c00002jGqjtAAC,,,,,a0B8c000012Ad99EAC,a0C8c00000XMMlkEAH,Les quatre évangiles,a0P8c00000DpWtDEAV,A2022,2022-09-01,2022-12-31,Current,
a098c00000rbnVgAAI,0038c00002jGs7UAAS,,,,,a0B8c000012Ad99EAC,a0C8c00000XMMlkEAH,Les quatre évangiles,a0P8c00000DpWtDEAV,A2022,2022-09-01,2022-12-31,Former,R
a098c00000rbnVhAAI,0038c00002jGrWCAA0,,,,,a0B8c000012Ad99EAC,a0C8c00000XMMlkEAH,Les quatre évangiles,a0P8c00000DpWtDEAV,A2022,2022-09-01,2022-12-31,Former,R
a098c00000rbsI9AAI,0038c00002jGrXeAAK,,,,,a0B8c000012LNrxEAG,a0C8c00000XMMkfEAH,Initiation à l'hébreu biblique I,a0P8c00000DpWtDEAV,A2022,2022-09-01,2022-12-31,,AUD
a098c00000rbsIJAAY,0038c00002yXnQ5AAK,,,,,a0B8c000012LNrxEAG,a0C8c00000XMMkfEAH,Initiation à l'hébreu biblique I,a0P8c00000DpWtDEAV,A2022,2022-09-01,2022-12-31,,ABA
a098c00000rbsIKAAY,0038c00002yXnQoAAK,,,,,a0B8c000012LNrxEAG,a0C8c00000XMMkfEAH,Initiation à l'hébreu biblique I,a0P8c00000DpWtDEAV,A2022,2022-09-01,2022-12-31,,AUD
a098c00000rbsKZAAY,0038c00002jGr6sAAC,,,,,a0B8c000012AlIbEAK,a0C8c00000XMMjhEAH,Éthique,a0P8c00000DpWsnEAF,H2021,2021-01-01,2021-04-30,Current,
a098c00000rbsKeAAI,0038c00002jGs7UAAS,,,,,a0B8c000012AlIbEAK,a0C8c00000XMMjhEAH,Éthique,a0P8c00000DpWsnEAF,H2021,2021-01-01,2021-04-30,Former,R
a098c00000rbsQsAAI,0038c00002jGs7rAAC,,,,,a0B8c000012AlW8EAK,a0C8c00000XMMdKEAX,Exégèse hébraïque I,a0P8c00000DpWsxEAF,A2021,2021-09-01,2021-12-31,Current,
a098c00000rbsQxAAI,0038c00002jGqwzAAC,,,,,a0B8c000012AlW8EAK,a0C8c00000XMMdKEAX,Exégèse hébraïque I,a0P8c00000DpWsxEAF,A2021,2021-09-01,2021-12-31,Current,AUD
a098c00000rbsR2AAI,0038c00002jGqmMAAS,,,,,a0B8c000014POQpEAO,a0C8c00000ZMkyUEAT,Exégèse hébraïque I,a0P8c00000DpWsxEAF,A2021,2021-09-01,2021-12-31,Current,R
a098c00000rbtOJAAY,0038c00002jGqjmAAC,,,,,a0B8c000012An8rEAC,a0C8c00000XMMnCEAX,Théologie biblique de l'adoration,a0P8c00000DpWt7EAF,P2022,2022-05-01,2022-08-31,Current,
a098c00000rbtOKAAY,0038c00002jGrbQAAS,,,,,a0B8c000012An8rEAC,a0C8c00000XMMnCEAX,Théologie biblique de l'adoration,a0P8c00000DpWt7EAF,P2022,2022-05-01,2022-08-31,Current,PPC
a098c00000rbtOOAAY,0038c00002jGr3xAAC,,,,,a0B8c000012An8rEAC,a0C8c00000XMMnCEAX,Théologie biblique de l'adoration,a0P8c00000DpWt7EAF,P2022,2022-05-01,2022-08-31,Current,AUD
a098c00000rbtOTAAY,0038c00002jGrADAA0,,,,,a0B8c000012An8rEAC,a0C8c00000XMMnCEAX,Théologie biblique de l'adoration,a0P8c00000DpWt7EAF,P2022,2022-05-01,2022-08-31,Former,PPC
a098c00000rbtOUAAY,0038c00002oyNVOAA2,,,,,a0B8c000012An8rEAC,a0C8c00000XMMnCEAX,Théologie biblique de l'adoration,a0P8c00000DpWt7EAF,P2022,2022-05-01,2022-08-31,Current,AUD
a098c00000rbtOYAAY,0038c00002jGqTqAAK,,,,,a0B8c000012An8rEAC,a0C8c00000XMMnCEAX,Théologie biblique de l'adoration,a0P8c00000DpWt7EAF,P2022,2022-05-01,2022-08-31,Former,AUD
a098c00000rbtOdAAI,0038c00002yY8KAAA0,,,,,a0B8c000012An8rEAC,a0C8c00000XMMnCEAX,Théologie biblique de l'adoration,a0P8c00000DpWt7EAF,P2022,2022-05-01,2022-08-31,Current,AUD
a098c00000rbvVCAAY,0038c00002jGrXUAA0,,,,,a0B8c000012ApywEAC,a0C8c00000XMMiSEAX,AT I : Pentateuque,a0P8c00000DpWsiEAF,A2020,2020-09-01,2020-12-31,Current,
a098c00000rbvVHAAY,0038c00002jGs7NAAS,,,,,a0B8c000012ApywEAC,a0C8c00000XMMiSEAX,AT I : Pentateuque,a0P8c00000DpWsiEAF,A2020,2020-09-01,2020-12-31,Current,R
a098c00000rbvVMAAY,0038c00002jGqjpAAC,,,,,a0B8c000012ApywEAC,a0C8c00000XMMiSEAX,AT I : Pentateuque,a0P8c00000DpWsiEAF,A2020,2020-09-01,2020-12-31,Current,AUD
a098c00000rbvVRAAY,0038c00002jGqYTAA0,,,,,a0B8c000012ApywEAC,a0C8c00000XMMiSEAX,AT I : Pentateuque,a0P8c00000DpWsiEAF,A2020,2020-09-01,2020-12-31,Current,AUD
a098c00000rbvVWAAY,0038c00002z5i4ZAAQ,,,,,a0B8c000012ApywEAC,a0C8c00000XMMiSEAX,AT I : Pentateuque,a0P8c00000DpWsiEAF,A2020,2020-09-01,2020-12-31,Current,AUD
a098c00000rbvVbAAI,0038c00002jGqXBAA0,,,,,a0B8c000012ApywEAC,a0C8c00000XMMiSEAX,AT I : Pentateuque,a0P8c00000DpWsiEAF,A2020,2020-09-01,2020-12-31,Current,AUD
a098c00000rbwTaAAI,0038c00002jGqijAAC,,,,,a0B8c000012Ar7QEAS,a0C8c00000XMMZQEA5,Doctrines essentielles II,a0P8c00000DpWsxEAF,A2021,2021-09-01,2021-12-31,Current,
a098c00000sHG0lAAG,0038c00002jGvv6AAC,,,,,a0B8c000012KFAaEAO,a0C8c00000XMMc0EAH,Livre du AT au choix,a0P8c00000DoDzWEAV,2015-16,2015-09-01,2016-08-31,Current,
a098c00000sHG0qAAG,0038c00002jGvvGAAS,,,,,a0B8c000012KFAaEAO,a0C8c00000XMMc0EAH,Livre du AT au choix,a0P8c00000DoDzWEAV,2015-16,2015-09-01,2016-08-31,Current,
a098c00000sHv8ZAAS,0038c00002jGqOyAAK,,,,,a0B8c000012KEo5EAG,a0C8c00000XMMkTEAX,Histoire de l'Église I,a0P8c00000DoDzUEAV,2013-14,2013-09-01,2014-08-31,Current,
a098c00000sHv8aAAC,0038c00002jGqOzAAK,,,,,a0B8c000012KExmEAG,a0C8c00000XMMZSEA5,Doctrines essentielles III,a0P8c00000DoDzaEAF,2019-20,2019-09-01,2020-08-31,Current,
a098c00000sHv8bAAC,0038c00002jGqOzAAK,,,,,a0B8c000012KExBEAW,a0C8c00000XMMZQEA5,Doctrines essentielles II,a0P8c00000DoDzZEAV,2018-19,2018-09-01,2019-08-31,Current,
a098c00000sHv8cAAC,0038c00002jGqP0AAK,,,,,a0B8c000012KEuhEAG,a0C8c00000XMMZ6EAP,Survol du Nouveau Testament III,a0P8c00000DoDzaEAF,2019-20,2019-09-01,2020-08-31,Current,AUD
a098c00000sHv8dAAC,0038c00002jGqP0AAK,,,,,a0B8c000012KEj6EAG,a0C8c00000XMMlAEAX,Introduction à l'Église et sa mission,a0P8c00000DoDzbEAF,2020-21,2020-09-01,2021-08-31,Former,AUD
a098c00000sHv8eAAC,0038c00002jGqP0AAK,,,,,a0B8c000012KF0CEAW,a0C8c00000XMMiSEAX,AT I : Pentateuque,a0P8c00000DoDzaEAF,2019-20,2019-09-01,2020-08-31,Current,AUD
a098c00000sHv8jAAC,0038c00002jGqP2AAK,,,,,a0B8c000012KF7VEAW,a0C8c00000XMMizEAH,Counseling biblique I,a0P8c00000DoDzaEAF,2019-20,2019-09-01,2020-08-31,Former,INC
a098c00000sHv8kAAC,0038c00002jGqP2AAK,,,,,a0B8c000012KF7UEAW,a0C8c00000XMMizEAH,Counseling biblique I,a0P8c00000DoDzZEAV,2018-19,2018-09-01,2019-08-31,Current,INC
